Символ,Частота,Код
'ит',0.002668,100101010
'ин',0.002619,100101011
'ми',0.002604,10010110
'мо',0.002569,100101110
'ви',0.002555,100101111
'че',0.002545,10011000
'ся',0.002518,100110010
'ы ',0.002517,100110011
'ар',0.002461,10011010
'им',0.002430,100110110
'ис',0.002424,100110111
'из',0.002377,10011100
'ие',0.002372,100111010
'вс',0.002363,100111011
' В',0.002354,100111100
'сь',0.002354,100111101
'ру',0.002340,100111110
'се',0.002298,100111111
'нн',0.002280,10100000
'ам',0.002260,101000010
'ок',0.002249,101000011
': ',0.002233,101000100
'х ',0.002219,101000101
'сл',0.002215,101000110
'со',0.002204,101000111
"'а,'",0.002204,10100100
'с ',0.002203,101001010
'ед',0.002174,101001011
'ки',0.002158,101001100
'ня',0.002157,101001101
'тв',0.002145,101001110
'ди',0.002052,101001111
'ая',0.002025,101010000
'ив',0.002017,101010001
'вы',0.002008,101010010
' л',0.002005,101010011
'ое',0.001985,101010100
'ей',0.001970,101010101
'ю ',0.001966,101010110
'ыл',0.001949,101010111
'ма',0.001943,101011000
"'и,'",0.001934,101011001
'му',0.001919,101011010
"'о,'",0.001880,101011011
'пе',0.001874,101011100
'ше',0.001856,101011101
' Н',0.001842,101011110
' э',0.001820,101011111
' П',0.001799,101100000
'ча',0.001756,101100001
'эт',0.001733,101100010
'хо',0.001731,101100011
' С',0.001720,101100100
"'е,'",0.001718,101100101
'ну',0.001683,101100110
'ик',0.001618,1011001110
'бе',0.001608,1011001111
'ия',0.001604,101101000
' ж',0.001539,101101001
'ши',0.001531,101101010
'др',0.001522,1011010110
'ад',0.001509,1011010111
'ля',0.001509,101101100
'св',0.001487,1011011010
'их',0.001481,1011011011
'ож',0.001420,101101110
'уд',0.001397,1011011110
'бо',0.001396,1011011111
'сп',0.001370,101110000
'дн',0.001367,1011100010
'зд',0.001363,1011100011
'зн',0.001332,101110010
'ду',0.001328,1011100110
'ее',0.001324,1011100111
"'ь,'",0.001292,101110100
'гл',0.001290,1011101010
'ры',0.001283,1011101011
'ев',0.001252,101110110
' 1',0.001246,1011101110
"'я,'",0.001238,1011101111
'..',0.001237,101111000
'ым',0.001235,1011110010
'ид',0.001232,1011110011
'кр',0.001199,101111010
'си',0.001198,1011110110
'са',0.001192,1011110111
"'м,'",0.001188,101111100
'ша',0.001187,1011111010
'чи',0.001179,1011111011
'ый',0.001171,1011111100
'ту',0.001167,1011111101
' А',0.001165,1011111110
'e ',0.001164,1011111111
'ий',0.001150,110000000
'ят',0.001134,1100000010
'р.',0.001118,1100000011
'ус',0.001116,1100000100
'жа',0.001109,1100000101
'ут',0.001105,1100000110
'жи',0.001104,1100000111
"'у,'",0.001103,110000100
'ты',0.001089,1100001010
'а.',0.001085,1100001011
' О',0.001084,1100001100
'ье',0.001070,1100001101
'оч',0.001065,1100001110
'ич',0.001064,1100001111
'кн',0.001063,1100010000
'аш',0.001058,1100010001
'ще',0.001053,1100010010
'Ст',0.001041,1100010011
'ез',0.001036,1100010100
'уж',0.001031,1100010101
' К',0.001025,1100010110
"'й,'",0.001020,1100010111
'оп',0.001013,1100011000
'ул',0.000994,1100011001
'лс',0.000993,1100011010
'уг',0.000990,1100011011
'аж',0.000985,1100011100
'иц',0.000980,1100011101
' I',0.000973,1100011110
'вш',0.000972,1100011111
'лу',0.000970,1100100000
'жн',0.000968,1100100001
'ку',0.000967,1100100010
' Р',0.000966,1100100011
' М',0.000963,1100100100
'з ',0.000963,1100100101
'вн',0.000955,1100100110
'бр',0.000921,1100100111
' а',0.000918,1100101000
'г.',0.000913,1100101001
'ые',0.000911,1100101010
'еб',0.000907,1100101011
'гр',0.000902,1100101100
'ош',0.000901,1100101101
'ек',0.000901,1100101110
'ыв',0.000897,11001011110
'ьн',0.000894,11001011111
'ьк',0.000890,1100110000
' 2',0.000888,1100110001
'па',0.000883,1100110010
'вл',0.000881,1100110011
'ых',0.000876,1100110100
' Б',0.000867,1100110101
'яз',0.000859,1100110110
'лю',0.000854,11001101110
' Д',0.000851,11001101111
'мн',0.000839,1100111000
'.:',0.000839,1100111001
'е.',0.000837,1100111010
' х',0.000835,1100111011
'На',0.000832,1100111100
'д.',0.000831,1100111101
'и.',0.000829,1100111110
'ря',0.000828,11001111110
'нь',0.000826,11001111111
'ае',0.000825,1101000000
'бу',0.000822,1101000001
'II',0.000818,1101000010
'гд',0.000816,11010000110
'лы',0.000812,11010000111
' я',0.000810,1101000100
'ую',0.000808,1101000101
'еч',0.000804,1101000110
'еж',0.000801,11010001110
'тн',0.000795,11010001111
'оз',0.000789,1101001000
'Вм',0.000786,1101001001
'ум',0.000784,1101001010
'нд',0.000781,11010010110
'рь',0.000776,11010010111
'сс',0.000767,1101001100
'ии',0.000765,1101001101
'ех',0.000764,1101001110
'тс',0.000763,11010011110
'ап',0.000761,11010011111
'га',0.000760,1101010000
' 3',0.000760,1101010001
'о:',0.000754,1101010010
'дв',0.000750,11010100110
'д ',0.000744,11010100111
'уз',0.000743,1101010100
'це',0.000743,1101010101
'сн',0.000742,1101010110
'см',0.000740,11010101110
'о.',0.000735,11010101111
'еп',0.000735,1101011000
'ах',0.000734,1101011001
'ял',0.000709,1101011010
'р ',0.000705,11010110110
'I ',0.000691,11010110111
'Пь',0.000690,1101011100
'Он',0.000688,11010111010
'ою',0.000687,11010111011
'ьс',0.000684,1101011110
'ву',0.000680,11010111110
'ба',0.000680,11010111111
'ха',0.000678,1101100000
'аг',0.000675,11011000010
'Ан',0.000675,11011000011
'ои',0.000674,1101100010
' 6',0.000671,11011000110
'ув',0.000670,11011000111
's ',0.000663,1101100100
'зв',0.000655,11011001010
'ыс',0.000646,11011001011
'ук',0.000643,1101100110
'су',0.000641,11011001110
'я.',0.000641,11011001111
'пи',0.000636,1101101000
'уч',0.000634,11011010010
'ач',0.000629,11011010011
'дл',0.000628,1101101010
'мы',0.000628,11011010110
'бл',0.000627,11011010111
'аю',0.000618,1101101100
'жд',0.000616,11011011010
"'ы,'",0.000616,11011011011
'яс',0.000613,11011011100
'щи',0.000613,11011011101
' ф',0.000610,11011011110
'у.',0.000608,11011011111
'ги',0.000606,1101110000
"'т,'",0.000605,11011100010
'? ',0.000602,11011100011
'йс',0.000593,1101110010
'нц',0.000591,11011100110
'уш',0.000587,11011100111
' И',0.000586,1101110100
"'л,'",0.000581,11011101010
'пл',0.000578,11011101011
'! ',0.000576,11011101100
'би',0.000574,11011101101
' ш',0.000573,11011101110
'; ',0.000568,11011101111
'еш',0.000559,1101111000
'ыт',0.000557,11011110010
'зо',0.000547,11011110011
'уп',0.000546,11011110100
'ь.',0.000543,11011110101
'ай',0.000539,11011110110
' Т',0.000533,11011110111
'пу',0.000530,11011111000
'оя',0.000530,11011111001
'рн',0.000528,11011111010
'вр',0.000525,11011111011
'сё',0.000522,11011111100
'зь',0.000521,11011111101
'гу',0.000517,11011111110
'ур',0.000510,11011111111
'аб',0.000506,11100000000
'г ',0.000506,11100000001
'\n\n',0.000504,11100000010
'яд',0.000504,11100000011
'ды',0.000501,11100000100
"'ю,'",0.000495,11100000101
'м.',0.000495,11100000110
'рт',0.000491,11100000111
'чу',0.000490,11100001000
'ян',0.000486,11100001001
"'н,'",0.000484,11100001010
'цу',0.000483,11100001011
'нс',0.000480,11100001100
'-т',0.000476,11100001101
"'в,'",0.000476,11100001110
'уб',0.000471,11100001111
'зы',0.000470,11100010000
'лк',0.000469,11100010001
'ещ',0.000468,11100010010
' (',0.000464,11100010011
' d',0.000464,11100010100
'фи',0.000462,11100010101
"'х,'",0.000458,11100010110
'ца',0.000457,11100010111
'ир',0.000457,11100011000
'ке',0.000455,11100011001
'Бо',0.000452,11100011010
'По',0.000451,11100011011
'ох',0.000450,11100011100
'ге',0.000444,11100011101
'ео',0.000443,11100011110
'о-',0.000441,111000111110
'чн',0.000435,111000111111
"' ""'",0.000432,11100100000
' Г',0.000432,11100100001
'тя',0.000431,11100100010
'й.',0.000428,11100100011
'ё ',0.000428,11100100100
'аф',0.000424,11100100101
'яж',0.000417,11100100110
'ou',0.000417,111001001110
'иг',0.000416,111001001111
'зя',0.000414,11100101000
't ',0.000413,11100101001
'фр',0.000412,11100101010
'Ро',0.000406,111001010110
'ья',0.000401,111001010111
'ыш',0.000400,11100101100
'68',0.000400,11100101101
'es',0.000400,11100101110
'ющ',0.000399,111001011110
'вз',0.000397,111001011111
'8 ',0.000394,11100110000
'ьш',0.000382,11100110001
'Ма',0.000377,11100110010
' X',0.000376,111001100110
'нт',0.000374,111001100111
'иб',0.000365,11100110100
'ют',0.000364,111001101010
'мя',0.000363,111001101011
're',0.000361,11100110110
'le',0.000359,111001101110
' Ч',0.000358,111001101111
'юд',0.000356,11100111000
'кт',0.000355,11100111001
'18',0.000354,11100111010
'бя',0.000353,111001110110
"'к,'",0.000350,111001110111
'en',0.000348,11100111100
' l',0.000347,111001111010
'Не',0.000346,111001111011
'шл',0.000346,11100111110
'зг',0.000343,111001111110
'тк',0.000342,111001111111
'I.',0.000339,11101000000
'дя',0.000338,111010000010
'юб',0.000337,111010000011
'йн',0.000336,11101000010
'ью',0.000333,111010000110
' c',0.000332,111010000111
'В.',0.000330,11101000100
'дс',0.000328,111010001010
'Р.',0.000328,111010001011
'шк',0.000326,11101000110
'л.',0.000325,111010001110
'иж',0.000323,111010001111
'ея',0.000322,11101001000
' m',0.000320,111010010010
'on',0.000319,111010010011
'дь',0.000319,11101001010
'ею',0.000318,111010010110
'de',0.000317,111010010111
' p',0.000317,11101001100
'И ',0.000316,111010011010
'ща',0.000315,111010011011
'В ',0.000313,11101001110
'кл',0.000313,111010011110
'ям',0.000308,111010011111
'ию',0.000307,11101010000
'Мо',0.000305,111010100010
'шн',0.000305,111010100011
'цо',0.000305,11101010010
'ыб',0.000305,111010100110
'т.',0.000304,111010100111
'кв',0.000299,11101010100
'лж',0.000299,111010101010
'сы',0.000298,111010101011
' Я',0.000297,111010101100
'Ка',0.000296,111010101101
' 7',0.000295,111010101110
'зи',0.000295,111010101111
'Ни',0.000291,11101011000
'ы.',0.000289,111010110010
'рд',0.000281,111010110011
'Я ',0.000281,111010110100
'иш',0.000280,111010110101
'3 ',0.000276,111010110110
' Э',0.000275,111010110111
'о́',0.000273,11101011100
'1 ',0.000272,111010111010
' ц',0.000270,111010111011
'сч',0.000270,111010111100
"'р,'",0.000269,111010111101
'ух',0.000268,111010111110
'рж',0.000268,111010111111
'рг',0.000268,11101100000
' Е',0.000265,111011000010
'н.',0.000261,111011000011
'ю.',0.000260,111011000100
'ср',0.000258,111011000101
'рм',0.000258,111011000110
'Но',0.000256,111011000111
'Ку',0.000255,111011001000
'пя',0.000252,111011001001
'n ',0.000250,111011001010
'ai',0.000250,111011001011
'шу',0.000247,111011001100
'рв',0.000247,111011001101
'ьм',0.000246,111011001110
'Пе',0.000246,111011001111
'сд',0.000245,111011010000
'er',0.000244,111011010001
' 4',0.000243,111011010010
'ыр',0.000241,111011010011
'Да',0.000236,111011010100
'us',0.000235,111011010101
'яв',0.000235,111011010110
'рш',0.000234,111011010111
'́ ',0.000233,111011011000
'лн',0.000232,111011011001
'оф',0.000232,111011011010
'Пр',0.000230,111011011011
'ne',0.000230,111011011100
'бн',0.000229,111011011101
'Со',0.000229,111011011110
'69',0.000228,1110110111110
'зу',0.000226,1110110111111
'9 ',0.000226,111011100000
'вд',0.000225,111011100001
'шо',0.000224,111011100010
'б ',0.000224,111011100011
'nt',0.000223,111011100100
'Во',0.000222,111011100101
'ущ',0.000222,111011100110
'ун',0.000221,1110111001110
'ur',0.000221,1110111001111
"',\n'",0.000220,111011101000
'ie',0.000219,111011101001
'зм',0.000218,111011101010
') ',0.000218,111011101011
'te',0.000218,111011101100
'шь',0.000217,111011101101
'73',0.000216,111011101110
' s',0.000216,1110111011110
'a ',0.000215,1110111011111
'ын',0.000211,111011110000
'пы',0.000211,111011110001
'х.',0.000209,111011110010
'рс',0.000209,111011110011
'зе',0.000207,111011110100
'Кн',0.000207,111011110101
'Де',0.000207,111011110110
'лд',0.000206,1110111101110
' e',0.000205,1110111101111
'тл',0.000203,111011111000
'ци',0.000203,111011111001
'До',0.000203,111011111010
'is',0.000203,1110111110110
'ащ',0.000203,1110111110111
'в.',0.000203,111011111100
'гн',0.000202,111011111101
'qu',0.000200,111011111110
'an',0.000199,1110111111110
' v',0.000199,1110111111111
'me',0.000198,111100000000
'XI',0.000196,111100000001
' a',0.000196,111100000010
'рк',0.000195,1111000000110
'ец',0.000195,1111000000111
'чк',0.000192,111100000100
'17',0.000192,111100000101
'зс',0.000187,111100000110
'r ',0.000186,1111000001110
' Л',0.000183,1111000001111
"'e,'",0.000182,111100001000
'VI',0.000180,111100001001
'ящ',0.000179,111100001010
'нч',0.000179,1111000010110
'бк',0.000177,1111000010111
'вп',0.000176,111100001100
'йт',0.000174,1111000011010
'нк',0.000174,1111000011011
'2 ',0.000173,111100001110
'мп',0.000173,1111000011110
'зл',0.000172,1111000011111
'зр',0.000172,111100010000
'?\n',0.000172,1111000100010
'дт',0.000171,1111000100011
'Ра',0.000170,111100010010
'вт',0.000169,1111000100110
'XX',0.000169,1111000100111
'vo',0.000169,111100010100
'бщ',0.000169,1111000101010
'уе',0.000168,1111000101011
'ях',0.000167,111100010110
'co',0.000166,1111000101110
'Вс',0.000166,1111000101111
'se',0.000164,111100011000
'Эт',0.000163,1111000110010
'вя',0.000163,1111000110011
'Чт',0.000161,111100011010
'о̀',0.000161,1111000110110
'Ко',0.000160,1111000110111
'eu',0.000160,111100011100
' q',0.000159,1111000111010
'лч',0.000158,1111000111011
'12',0.000157,111100011110
'дк',0.000156,1111000111110
'оо',0.000156,1111000111111
'Бе',0.000156,111100100000
"'"" '",0.000155,1111001000010
'ra',0.000155,1111001000011
'it',0.000155,111100100010
'la',0.000153,1111001000110
'кс',0.000152,1111001000111
'То',0.000152,111100100100
'ch',0.000152,1111001001010
'ma',0.000152,1111001001011
' У',0.000151,1111001001100
'еи',0.000151,1111001001101
'ue',0.000150,1111001001110
'Ну',0.000150,1111001001111
'ъе',0.000149,111100101000
'in',0.000149,1111001010010
' V',0.000148,1111001010011
'ык',0.000148,111100101010
'ri',0.000147,1111001010110
'чь',0.000146,1111001010111
'Ве',0.000145,111100101100
'tr',0.000145,1111001011010
'ce',0.000144,1111001011011
'дъ',0.000144,1111001011100
'ио',0.000143,1111001011101
'Ва',0.000143,1111001011110
'ыч',0.000142,1111001011111
'et',0.000141,111100110000
'зб',0.000141,1111001100010
'в:',0.000141,1111001100011
'тч',0.000140,1111001100100
'лп',0.000140,1111001100101
'Го',0.000140,1111001100110
' n',0.000140,1111001100111
'̀ ',0.000139,111100110100
'Ба',0.000139,1111001101010
'Ал',0.000139,1111001101011
"'5,'",0.000138,1111001101100
'(в',0.000138,1111001101101
'А ',0.000138,1111001101110
'сх',0.000138,1111001101111
"'6,'",0.000137,111100111000
'е)',0.000136,1111001110010
'ип',0.000136,1111001110011
' З',0.000136,1111001110100
'рб',0.000136,1111001110101
'XV',0.000134,1111001110110
'll',0.000134,1111001110111
'ar',0.000134,1111001111000
' Ф',0.000133,1111001111001
'st',0.000133,1111001111010
"'3,'",0.000132,1111001111011
'вь',0.000132,1111001111100
'Ми',0.000132,1111001111101
'яя',0.000131,1111001111110
"'8,'",0.000131,1111001111111
'зж',0.000131,1111010000000
'тд',0.000130,1111010000001
"'1,'",0.000129,1111010000010
"'0,'",0.000128,1111010000011
"'2,'",0.000128,1111010000100
'-1',0.000127,1111010000101
'хи',0.000127,1111010000110
"'9,'",0.000127,1111010000111
'Гл',0.000127,1111010001000
'жу',0.000126,1111010001001
'10',0.000126,1111010001010
"'4,'",0.000125,1111010001011
' t',0.000125,1111010001100
'15',0.000125,1111010001101
'йд',0.000124,1111010001110
"'7,'",0.000124,1111010001111
'pa',0.000123,1111010010000
'цы',0.000123,1111010010001
' f',0.000122,1111010010010
' 5',0.000122,1111010010011
'i ',0.000122,1111010010100
'-н',0.000122,1111010010101
'ч ',0.000121,1111010010110
'!\n',0.000120,1111010010111
'oi',0.000120,1111010011000
'IV',0.000120,1111010011001
'il',0.000120,1111010011010
'вк',0.000120,1111010011011
'ns',0.000119,1111010011100
'20',0.000118,1111010011101
"'"",'",0.000118,1111010011110
'1.',0.000118,1111010011111
'Па',0.000117,1111010100000
'фа',0.000117,1111010100001
'2.',0.000116,1111010100010
'ьи',0.000115,1111010100011
'ню',0.000115,1111010100100
'ощ',0.000115,1111010100101
'ж ',0.000115,1111010100110
'яг',0.000115,1111010100111
'ищ',0.000114,1111010101000
'V.',0.000114,1111010101001
'5.',0.000114,1111010101010
'к.',0.000113,1111010101011
'а!',0.000113,1111010101100
'4.',0.000113,1111010101101
'ь?',0.000112,1111010101110
'):',0.000112,11110101011110
'3.',0.000112,11110101011111
'9.',0.000112,1111010110000
'au',0.000112,1111010110001
'рю',0.000112,1111010110010
'6.',0.000112,1111010110011
'30',0.000111,1111010110100
'ir',0.000111,1111010110101
'Сл',0.000111,1111010110110
'Вы',0.000111,11110101101110
'ьз',0.000111,11110101101111
'Та',0.000111,1111010111000
"'с,'",0.000110,1111010111001
'13',0.000110,1111010111010
'яч',0.000109,1111010111011
'16',0.000109,1111010111100
'19',0.000109,1111010111101
"'д,'",0.000109,1111010111110
'om',0.000108,11110101111110
'ц ',0.000108,11110101111111
'11',0.000108,1111011000000
'mo',0.000107,1111011000001
'24',0.000107,1111011000010
'8.',0.000106,1111011000011
'0.',0.000106,1111011000100
'7.',0.000105,1111011000101
'цк',0.000105,1111011000110
'14',0.000103,11110110001110
'дш',0.000103,11110110001111
'е?',0.000103,1111011001000
'23',0.000103,1111011001001
"'"".'",0.000102,1111011001010
'зк',0.000102,11110110010110
'-г',0.000102,11110110010111
' Ж',0.000101,1111011001100
'аи',0.000101,1111011001101
'21',0.000101,1111011001110
'нг',0.000100,11110110011110
'nn',0.000100,11110110011111
'22',0.000100,1111011010000
'80',0.000100,1111011010001
'nd',0.000100,1111011010010
'вм',0.000099,11110110100110
'як',0.000099,11110110100111
'лг',0.000099,1111011010100
'ui',0.000098,1111011010101
'яю',0.000098,1111011010110
'un',0.000098,11110110101110
'31',0.000098,11110110101111
'о?',0.000097,1111011011000
'дц',0.000097,1111011011001
"'),'",0.000097,1111011011010
'хв',0.000097,11110110110110
"'г,'",0.000097,11110110110111
'мс',0.000097,1111011011100
'о!',0.000096,1111011011101
'тт',0.000096,1111011011110
'ф ',0.000095,11110110111110
'u ',0.000095,11110110111111
'ss',0.000095,1111011100000
'29',0.000094,1111011100001
'as',0.000094,1111011100010
'От',0.000094,11110111000110
'нщ',0.000094,11110111000111
'à ',0.000094,1111011100100
'За',0.000093,1111011100101
"'I,'",0.000093,1111011100110
'яе',0.000093,11110111001110
' 8',0.000093,11110111001111
'ху',0.000093,1111011101000
've',0.000092,1111011101001
'81',0.000092,1111011101010
'юс',0.000092,11110111010110
' j',0.000091,11110111010111
'сю',0.000091,1111011101100
' b',0.000091,11110111011010
'ez',0.000091,11110111011011
'тц',0.000090,11110111011100
'ъю',0.000090,11110111011101
'Гр',0.000090,1111011101111
'тó',0.000090,1111011110000
"'s,'",0.000090,1111011110001
'ut',0.000090,1111011110010
'X.',0.000090,11110111100110
'мл',0.000090,11110111100111
'бъ',0.000090,1111011110100
'e.',0.000089,11110111101010
'ып',0.000089,11110111101011
'йш',0.000088,1111011110110
'Ви',0.000088,11110111101110
'27',0.000088,11110111101111
'33',0.000088,1111011111000
'Ч.',0.000088,1111011111001
'25',0.000087,1111011111010
'а?',0.000087,11110111110110
'32',0.000086,11110111110111
'хн',0.000086,1111011111100
'35',0.000086,11110111111010
'а:',0.000085,11110111111011
'ыд',0.000085,1111011111110
'l ',0.000085,11110111111110
'36',0.000085,11110111111111
' r',0.000085,1111100000000
'si',0.000085,11111000000010
"""'e""",0.000084,11111000000011
'po',0.000084,1111100000010
'ау',0.000084,11111000000110
' 9',0.000083,11111000000111
'лл',0.000083,1111100000100
'фе',0.000083,11111000001010
'26',0.000083,11111000001011
'ti',0.000082,1111100000110
'1\n',0.000082,11111000001110
'рх',0.000081,11111000001111
'дп',0.000081,1111100001000
'ó ',0.000081,11111000010010
'ьб',0.000080,11111000010011
'ъя',0.000080,1111100001010
'34',0.000080,11111000010110
'тò',0.000079,11111000010111
'em',0.000079,1111100001100
"'!""'",0.000079,11111000011010
'(1',0.000079,11111000011011
'бх',0.000079,1111100001110
'28',0.000078,11111000011110
' M',0.000078,11111000011111
' Х',0.000078,1111100010000
' L',0.000078,11111000100010
'38',0.000078,11111000100011
'el',0.000078,1111100010010
"""'a""",0.000077,11111000100110
':\n',0.000077,11111000100111
' à',0.000077,1111100010100
"""l'""",0.000077,11111000101010
'37',0.000076,11111000101011
'pr',0.000076,11111000101100
'чш',0.000076,11111000101101
'е-',0.000076,11111000101110
'шт',0.000076,11111000101111
'so',0.000075,11111000110000
'щу',0.000075,11111000110001
'рл',0.000075,1111100011001
' Ш',0.000075,1111100011010
' \n',0.000074,11111000110110
'хр',0.000074,11111000110111
'39',0.000074,1111100011100
'pe',0.000073,11111000111010
'ro',0.000073,11111000111011
'mm',0.000073,11111000111100
'иа',0.000073,11111000111101
'he',0.000072,11111000111110
'Фр',0.000072,11111000111111
'а-',0.000072,1111100100000
'хл',0.000072,11111001000010
'ь!',0.000072,11111001000011
'ò ',0.000072,11111001000100
'ьц',0.000072,11111001000101
'Од',0.000071,11111001000110
'сш',0.000071,11111001000111
'di',0.000071,1111100100100
'бв',0.000071,11111001001010
'to',0.000070,11111001001011
'гс',0.000070,11111001001100
'or',0.000069,11111001001101
'Др',0.000069,11111001001110
'al',0.000069,11111001001111
'пч',0.000069,1111100101000
'рц',0.000068,11111001010010
'юш',0.000068,11111001010011
'ыг',0.000068,11111001010100
'Те',0.000068,11111001010101
'Ах',0.000068,11111001010110
'жк',0.000068,11111001010111
' u',0.000068,11111001011000
'!.',0.000068,11111001011001
'no',0.000066,11111001011010
'nc',0.000066,11111001011011
'йл',0.000065,11111001011100
'é ',0.000065,11111001011101
'sa',0.000065,11111001011110
"'ц,'",0.000065,11111001011111
'Че',0.000065,11111001100000
'je',0.000065,11111001100001
' g',0.000065,11111001100010
'а;',0.000065,11111001100011
'0 ',0.000064,11111001100100
'фу',0.000064,11111001100101
'гк',0.000063,11111001100110
'am',0.000063,11111001100111
'40',0.000063,11111001101000
'юч',0.000063,11111001101001
'Ты',0.000063,11111001101010
'ац',0.000062,11111001101011
'z ',0.000062,11111001101100
'и!',0.000062,11111001101101
'2\n',0.000062,11111001101110
' B',0.000062,11111001101111
"'з,'",0.000061,11111001110000
'бс',0.000061,11111001110001
'С ',0.000061,11111001110010
' A',0.000060,11111001110011
'дм',0.000060,11111001110100
'Эл',0.000060,11111001110101
'IX',0.000060,11111001110110
'fa',0.000060,11111001110111
'еу',0.000060,11111001111000
'ta',0.000059,11111001111001
'ic',0.000059,11111001111010
'3\n',0.000059,11111001111011
'я?',0.000059,11111001111100
'оц',0.000059,11111001111101
'и;',0.000058,11111001111110
'rt',0.000058,11111001111111
'рч',0.000058,11111010000000
'и?',0.000058,11111010000001
'00',0.000058,11111010000010
'at',0.000058,11111010000011
"'n,'",0.000057,11111010000100
'с.',0.000057,11111010000101
'уя',0.000057,11111010000110
'av',0.000057,11111010000111
'Кр',0.000056,11111010001000
'пн',0.000056,11111010001001
' i',0.000056,11111010001010
'зю',0.000056,11111010001011
'я:',0.000056,11111010001100
'пк',0.000056,11111010001101
'з-',0.000056,11111010001110
'Ил',0.000056,111110100011110
'фл',0.000056,111110100011111
'4\n',0.000055,11111010010000
'фо',0.000055,11111010010001
'е!',0.000055,11111010010010
'чо',0.000055,11111010010011
'li',0.000055,11111010010100
'ьт',0.000054,11111010010101
'-п',0.000054,11111010010110
'--',0.000054,111110100101110
'уй',0.000054,111110100101111
'л:',0.000054,11111010011000
'0\n',0.000054,11111010011001
'мк',0.000054,11111010011010
'os',0.000054,11111010011011
'5\n',0.000054,11111010011100
"',1'",0.000054,11111010011101
'е;',0.000054,11111010011110
'ol',0.000053,111110100111110
'рп',0.000053,111110100111111
'4 ',0.000053,11111010100000
'См',0.000053,11111010100001
'mp',0.000053,11111010100010
"'ё,'",0.000053,11111010100011
'нр',0.000052,11111010100100
'о;',0.000052,11111010100101
'Из',0.000052,11111010100110
'Ту',0.000052,111110101001110
'èr',0.000051,111110101001111
'ш ',0.000051,11111010101000
'mi',0.000051,11111010101001
'Еж',0.000051,11111010101010
'ho',0.000051,111110101010110
'о\n',0.000050,111110101010111
'8\n',0.000050,11111010101100
'я!',0.000050,11111010101101
'жб',0.000050,11111010101110
"'.,'",0.000050,111110101011110
'6\n',0.000050,111110101011111
'7\n',0.000050,11111010110000
'.1',0.000050,11111010110001
'5 ',0.000050,11111010110010
'9\n',0.000050,111110101100110
'и\n',0.000049,111110101100111
'vi',0.000049,11111010110100
'хс',0.000049,11111010110101
'тп',0.000049,11111010110110
'lu',0.000049,111110101101110
'ge',0.000049,111110101101111
'оу',0.000049,11111010111000
'а\n',0.000048,11111010111001
'Ге',0.000048,11111010111010
'Се',0.000048,111110101110110
'Хо',0.000048,111110101110111
'Ти',0.000048,11111010111100
